#
#
#
#t (s);#V (mV)
373.26;9.250E-02
374.26;8.117E-02
375.26;6.969E-02
376.26;5.906E-02
377.26;4.926E-02
378.26;3.943E-02
379.26;3.017E-02
380.28;2.135E-02
381.28;1.301E-02
382.28;4.792E-03
383.28;-3.132E-03
384.28;-1.016E-02
385.28;-1.722E-02
386.28;-2.398E-02
387.28;-3.016E-02
388.28;-3.616E-02
389.28;-4.215E-02
390.28;-4.750E-02
391.28;-5.272E-02
392.28;-5.781E-02
393.28;-6.246E-02
394.28;-6.689E-02
395.28;-7.127E-02
396.28;-7.548E-02
397.28;-7.946E-02
398.28;-8.315E-02
399.28;-8.661E-02
400.28;-8.953E-02
401.28;-9.272E-02
402.29;-9.576E-02
403.29;-9.835E-02
404.30;-1.009E-01
405.31;-1.035E-01
406.32;-1.055E-01
407.32;-1.076E-01
408.32;-1.097E-01
409.32;-1.119E-01
410.32;-1.137E-01
411.32;-1.153E-01
412.32;-1.172E-01
413.32;-1.180E-01
414.32;-1.194E-01
415.32;-1.209E-01
416.32;-1.223E-01
417.32;-1.231E-01
418.32;-1.240E-01
419.32;-1.249E-01
420.32;-1.257E-01
421.32;-1.265E-01
422.32;-1.274E-01
423.34;-1.275E-01
424.34;-1.280E-01
425.34;-1.285E-01
426.34;-1.288E-01
427.34;-1.295E-01
428.35;-1.294E-01
429.35;-1.294E-01
430.35;-1.298E-01
431.35;-1.298E-01
432.35;-1.299E-01
433.35;-1.296E-01
434.35;-1.297E-01
435.35;-1.298E-01
436.35;-1.295E-01
437.35;-1.294E-01
438.35;-1.293E-01
439.35;-1.290E-01
440.35;-1.288E-01
441.35;-1.282E-01
442.35;-1.281E-01
443.35;-1.272E-01
444.36;-1.270E-01
445.36;-1.265E-01
446.36;-1.264E-01
447.36;-1.261E-01
448.36;-1.253E-01
449.36;-1.247E-01
450.36;-1.241E-01
451.36;-1.236E-01
452.36;-1.226E-01
453.36;-1.222E-01
454.36;-1.213E-01
455.36;-1.211E-01
456.36;-1.200E-01
457.36;-1.195E-01
458.36;-1.187E-01
459.36;-1.180E-01
460.36;-1.173E-01
461.37;-1.167E-01
462.37;-1.159E-01
463.39;-1.150E-01
464.39;-1.142E-01
465.39;-1.138E-01
466.39;-1.131E-01
467.39;-1.116E-01
468.39;-1.113E-01
469.39;-1.102E-01
470.39;-1.093E-01
471.39;-1.084E-01
472.39;-1.075E-01
473.39;-1.067E-01
474.39;-1.055E-01
475.39;-1.048E-01
476.39;-1.040E-01
477.39;-1.035E-01
478.39;-1.020E-01
479.39;-1.013E-01
480.39;-1.003E-01
481.39;-9.949E-02
482.39;-9.820E-02
483.39;-9.725E-02
484.40;-9.665E-02
485.40;-9.580E-02
486.40;-9.495E-02








































































































































































































